rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,WINNINGANGLE-1,WINNINGANGLE,1,31,0.002235,0.0,0.0012,1192.1,TEN 18%; CLE 14%; TB 10%
443,BonkAgainstTheSpread-4,BonkAgainstTheSpread,1,31,0.002247,0.0,0.0004,436.02,TEN 15%; CLE 13%; TB 10%
444,Goodfellas-4,Goodfellas,1,31,0.002251,0.0,0.0004,435.83,TEN 11%; CLE 10%; TB 9%
445,Mandelorian39-3,Mandelorian39,1,31,0.002235,0.0,0.00056,435.23,TEN 13%; CLE 11%; TB 10%
446,ididn'tseethatcoming-2,ididn'tseethatcoming,1,31,0.001774,0.0,0.00032,435.14,TEN 12%; CLE 11%; TB 9%
447,EROQ-4,EROQ,1,31,0.002247,0.0,0.00048,434.79,TEN 15%; CLE 13%; TB 10%
448,MINTF-3,MINTF,1,31,0.001774,0.0,0.0004,433.29,TEN 13%; CLE 11%; TB 10%
449,THE INTANGIBLES-1,THE INTANGIBLES,1,31,0.002247,0.0,0.00072,433.24,TEN 13%; CLE 12%; TB 10%
450,TEAM MONEY-4,TEAM MONEY,1,31,0.002251,0.0,0.00048,432.96,TEN 17%; CLE 13%; TB 10%
451,PISANOWINZ-3,PISANOWINZ,1,31,0.001627,0.0,0.00048,432.61,TEN 14%; CLE 12%; TB 10%
452,ICEMAN650-2,ICEMAN650,1,31,0.002027,0.0,0.00032,430.91,CLE 13%; TB 11%; PIT 10%
453,Sand Bagger-2,Sand Bagger,1,31,0.002235,0.0,0.0004,430.11,TEN 18%; CLE 14%; TB 10%
454,Haven Road-1,Haven Road,1,31,0.002247,0.0,0.00064,429.03,TEN 18%; CLE 14%; TB 10%
455,Kravity-1,Kravity,1,31,0.001627,0.0,0.00056,428.47,TEN 19%; CLE 14%; TB 11%
456,BIGDNICK-3,BIGDNICK,1,31,0.002251,0.0,0.00048,427.18,TEN 13%; CLE 11%; TB 9%
457,Maiowe-2,Maiowe,1,31,0.002247,0.0,0.00048,425.39,TEN 13%; CLE 12%; TB 10%
458,MICHCONN-2,MICHCONN,1,31,0.002247,0.0,0.0004,424.97,TEN 18%; CLE 14%; TB 10%
459,MAX-1,MAX,1,31,0.002247,0.0,0.00048,424.42,TEN 18%; CLE 14%; TB 10%
460,SJM-4,SJM,1,31,0.002251,0.0,0.00032,424.21,TEN 15%; CLE 12%; TB 10%
461,BOBBYT-3,BOBBYT,1,31,0.002247,0.0,0.00064,423.46,TEN 15%; CLE 13%; TB 10%
462,Iron Mountain-4,Iron Mountain,1,31,0.002247,0.0,0.0004,423.22,TEN 16%; CLE 13%; TB 10%
463,HAMMERS BAR-1,HAMMERS BAR,1,31,0.001774,0.0,0.00048,423.09,TEN 18%; CLE 13%; TB 10%
464,St. Jude 100K-1,St. Jude 100K,1,31,0.001774,0.0,0.00056,422.59,TEN 18%; CLE 13%; TB 10%
465,GAMBLEBALLS-1,GAMBLEBALLS,1,31,0.002235,0.0,0.00048,421.75,TEN 13%; CLE 11%; PIT 10%
466,FIRSTCLASSIC-1,FIRSTCLASSIC,1,31,0.002247,0.0,0.00056,421.09,TEN 18%; CLE 14%; TB 10%
467,Lucas Nogueira-1,Lucas Nogueira,1,31,0.002251,0.0,0.00048,420.88,TEN 17%; CLE 13%; TB 10%
468,VEGAS MACHINE-1,VEGAS MACHINE,1,31,0.002247,0.0,0.0004,419.98,TEN 18%; CLE 14%; TB 10%
469,CNT WALK-1,CNT WALK,1,31,0.002235,0.0,0.00056,419.92,TEN 18%; CLE 14%; TB 10%
470,MALM20-4,MALM20,1,31,0.002251,0.0,0.00056,418.14,TEN 12%; CLE 11%; PIT 10%
471,Scrlou41-5,Scrlou41,1,31,0.002247,0.0,0.0004,417.71,TEN 12%; CLE 11%; TB 10%
472,Mikey D-4,Mikey D,1,31,0.002247,0.0,0.00048,416.52,TEN 18%; CLE 14%; TB 10%
473,Preacher71-2,Preacher71,1,31,0.002247,0.0,0.00056,416.24,TEN 15%; CLE 13%; TB 10%
474,J Town Wise Guy-1,J Town Wise Guy,1,31,0.002235,0.0,0.0004,415.51,TEN 18%; CLE 14%; TB 10%
475,BonkAgainstTheSpread-3,BonkAgainstTheSpread,1,31,0.002235,0.0,0.00048,415.41,TEN 18%; CLE 14%; TB 10%
476,PICKSWCLARS24-1,PICKSWCLARS24,1,31,0.002247,0.0,0.00032,415.33,TEN 18%; CLE 14%; TB 10%
477,DUCK-4,DUCK,1,31,0.002266,0.0,0.00032,415.33,TEN 13%; CLE 11%; TB 9%
478,Dr.Unk-1,Dr.Unk,1,31,0.002247,0.0,0.00032,412.73,TEN 18%; CLE 14%; TB 10%
479,DESERT DOGG-3,DESERT DOGG,1,31,0.002247,0.0,0.0004,411.69,TEN 15%; CLE 13%; TB 10%
480,TEAM MOIST-4,TEAM MOIST,1,31,0.002235,0.0,0.00048,408.96,TEN 11%; CLE 10%; TB 9%
481,H-TOWN-1,H-TOWN,1,31,0.002247,0.0,0.00032,408.51,TEN 18%; CLE 14%; TB 10%
482,MALM20-3,MALM20,1,31,0.001627,0.0,0.00048,407.94,TEN 16%; CLE 13%; TB 11%
483,BOYCOTT 8 PCT-5,BOYCOTT 8 PCT,1,31,0.001774,0.0,0.00048,407.88,TEN 13%; CLE 11%; TB 10%
484,CRE8-1,CRE8,1,31,0.002247,0.0,0.0004,404.96,TEN 18%; CLE 14%; TB 10%
485,ACHILLES12-2,ACHILLES12,1,31,0.002247,0.0,0.00048,404.52,TEN 18%; CLE 14%; TB 10%
486,Aspxtreme-1,Aspxtreme,1,31,0.001627,0.0,0.00048,403.03,TEN 19%; CLE 14%; TB 11%
487,Anonymous Donors-1,Anonymous Donors,1,31,0.002235,0.0,0.00032,402.95,TEN 18%; CLE 14%; TB 10%
488,Marphil-1,Marphil,1,31,0.002247,0.0,0.00056,402.48,TEN 18%; CLE 14%; TB 10%
489,ALL BALD DOME-1,ALL BALD DOME,1,31,0.001627,0.0,0.0004,401.66,TEN 19%; CLE 14%; TB 11%
490,MATADOR-2,MATADOR,1,31,0.001627,0.0,0.0004,400.1,TEN 16%; CLE 13%; TB 10%
491,Thunder-3,Thunder,1,31,0.002247,0.0,0.0004,399.55,TEN 15%; CLE 13%; TB 10%
492,Paddy Mac.-1,Paddy Mac.,1,31,0.002235,0.0,0.0004,399.55,TEN 18%; CLE 14%; TB 10%
493,LoveMyBaxter-3,LoveMyBaxter,1,31,0.002247,0.0,0.0004,399.44,TEN 13%; CLE 12%; TB 10%
494,GAVIN45-2,GAVIN45,1,31,0.001627,0.0,0.0004,397.69,TEN 16%; CLE 13%; TB 10%
495,PA Pride-1,PA Pride,1,31,0.001774,0.0,0.00056,397.42,TEN 15%; CLE 12%; TB 10%
496,MAX-2,MAX,1,31,0.002247,0.0,0.00032,396.5,TEN 15%; CLE 13%; TB 10%
497,RICKSKINS-1,RICKSKINS,1,31,0.002235,0.0,0.00056,396.06,TEN 18%; CLE 14%; TB 10%
498,ALWAYS WATCHING-1,ALWAYS WATCHING,1,31,0.002247,0.0,0.0004,395.28,TEN 18%; CLE 14%; TB 10%
499,Sting-3,Sting,1,31,0.002247,0.0,0.00048,394.76,TEN 16%; CLE 13%; TB 10%
500,BigDaddySlackChats69-1,BigDaddySlackChats69,1,31,0.002251,0.0,0.0004,393.96,TEN 17%; CLE 13%; TB 10%
501,WILLY BALTERS-1,WILLY BALTERS,1,31,0.002247,0.0,0.0004,391.72,TEN 18%; CLE 14%; TB 10%
502,1ST TIME CALLAH-2,1ST TIME CALLAH,1,31,0.002247,0.0,0.00032,390.54,TEN 18%; CLE 14%; TB 10%
503,RYAN HOJO-4,RYAN HOJO,1,31,0.001627,0.0,0.0004,389.75,TEN 14%; CLE 12%; TB 10%
504,SharpSyndicateSports-3,SharpSyndicateSports,1,31,0.002235,0.0,0.0004,387.76,TEN 13%; CLE 11%; TB 10%
505,BillyVegas-2,BillyVegas,1,31,0.002266,0.0,0.00056,387.1,TEN 17%; CLE 13%; TB 10%
506,EX-FINANCE-1,EX-FINANCE,1,31,0.001774,0.0,0.00032,386.73,TEN 18%; CLE 13%; TB 10%
507,LEO-1,LEO,1,31,0.00178,0.0,0.0004,386.16,TEN 18%; CLE 13%; TB 10%
508,Exodus 20-2,Exodus 20,1,31,0.002235,0.0,0.00048,385.61,TEN 15%; CLE 12%; TB 10%
509,ONE MAIN-1,ONE MAIN,1,31,0.002247,0.0,0.00056,384.18,TEN 18%; CLE 14%; TB 10%
510,JAM-1,JAM,1,31,0.002247,0.0,0.0004,383.69,TEN 18%; CLE 14%; TB 10%
511,Goodfellas-1,Goodfellas,1,31,0.001774,0.0,0.0004,383.11,TEN 15%; CLE 12%; TB 10%
512,RICHIE RICH-1,RICHIE RICH,1,31,0.002235,0.0,0.00056,382.72,TEN 18%; CLE 14%; TB 10%
513,PA Pride-2,PA Pride,1,31,0.002247,0.0,0.00032,382.33,TEN 18%; CLE 14%; TB 10%
514,DR B-2,DR B,1,31,0.002235,0.0,0.00032,382.33,TEN 18%; CLE 14%; TB 10%
515,Super Poodle-2,Super Poodle,1,31,0.002027,0.0,0.00064,382.0,CLE 16%; TB 12%; PIT 10%
516,Lucas Nogueira-4,Lucas Nogueira,1,31,0.002251,0.0,0.0004,381.62,TEN 13%; CLE 11%; TB 9%
517,JEEEB 2020-1,JEEEB 2020,1,31,0.001627,0.0,0.00032,379.45,TEN 19%; CLE 14%; TB 11%
518,BIGSHOTBOBANDTHEBOYS-1,BIGSHOTBOBANDTHEBOYS,1,31,0.002247,0.0,0.0004,379.33,TEN 18%; CLE 14%; TB 10%
519,It Ain't Breezy-1,It Ain't Breezy,1,31,0.002235,0.0,0.00032,379.14,TEN 18%; CLE 14%; TB 10%
520,BIG DEAL-2,BIG DEAL,1,31,0.002235,0.0,0.0004,378.93,TEN 13%; CLE 11%; TB 9%
521,Bison Sports-4,Bison Sports,1,31,0.001627,0.0,0.00048,378.61,TEN 16%; CLE 13%; TB 11%
522,Livin' The Dream-1,Livin' The Dream,1,31,0.002247,0.0,0.00032,377.11,TEN 18%; CLE 14%; TB 10%
523,NorthCountyCapital-1,NorthCountyCapital,1,31,0.002251,0.0,0.00048,376.71,TEN 17%; CLE 13%; TB 10%
524,JOE D-2,JOE D,1,31,0.001774,0.0,0.00064,376.26,TEN 18%; CLE 13%; TB 10%
525,FELIX FELICIS-2,FELIX FELICIS,1,31,0.002235,0.0,0.0004,375.21,TEN 18%; CLE 14%; TB 10%
526,TAHOE-2,TAHOE,1,31,0.002247,0.0,0.0004,374.67,TEN 16%; CLE 13%; TB 10%
527,Seatown Square-1,Seatown Square,1,31,0.002247,0.0,0.00032,374.54,TEN 18%; CLE 14%; TB 10%
528,PISO MOJADO-1,PISO MOJADO,1,31,0.002247,0.0,0.00032,374.54,TEN 14%; CLE 12%; TB 10%
529,MONEY OBSCENE-3,MONEY OBSCENE,1,31,0.002247,0.0,0.00056,374.44,TEN 15%; CLE 12%; PIT 11%
530,SPS-1,SPS,1,31,0.002247,0.0,0.0004,372.54,TEN 12%; CLE 11%; TB 10%
531,Just Say Yes!-1,Just Say Yes!,1,31,0.002247,0.0,0.0004,371.44,TEN 18%; CLE 14%; TB 10%
532,BBOSSE22-1,BBOSSE22,1,31,0.002247,0.0,0.00056,370.79,TEN 14%; CLE 12%; TB 10%
533,Kendianes-1,Kendianes,1,31,0.001774,0.0,0.00032,370.51,TEN 18%; CLE 13%; TB 10%
534,XXYYZZ-4,XXYYZZ,1,31,0.002247,0.0,0.00032,370.31,TEN 12%; CLE 11%; TB 10%
535,JIVETURKEYEXPRESS-1,JIVETURKEYEXPRESS,1,31,0.002235,0.0,0.0004,369.87,TEN 18%; CLE 14%; TB 10%
536,GAMBLEONGOLD-4,GAMBLEONGOLD,1,31,0.002251,0.0,0.00048,366.97,TEN 13%; CLE 11%; TB 9%
537,Locksmith-2,Locksmith,1,31,0.002251,0.0,0.00032,366.4,TEN 17%; CLE 13%; TB 10%
538,FJIZZLE-2,FJIZZLE,1,31,0.002251,0.0,0.00032,366.28,TEN 17%; CLE 13%; TB 10%
539,THAWK-1,THAWK,1,31,0.002247,0.0,0.00032,363.85,TEN 18%; CLE 14%; TB 10%
540,Mikey D-5,Mikey D,1,31,0.002251,0.0,0.0004,363.51,TEN 14%; CLE 12%; TB 10%
541,Iron Mountain-5,Iron Mountain,1,31,0.002251,0.0,0.00048,363.47,TEN 17%; CLE 13%; TB 10%
542,FTGB-1,FTGB,1,31,0.002247,0.0,0.00032,360.72,TEN 18%; CLE 14%; TB 10%
543,NYBallers-1,NYBallers,1,31,0.002247,0.0,0.00032,360.72,TEN 18%; CLE 14%; TB 10%
544,The Three Stooges-1,The Three Stooges,1,31,0.002247,0.0,0.0004,360.48,TEN 18%; CLE 14%; TB 10%
545,chowsHeroes-1,chowsHeroes,1,31,0.002247,0.0,0.0004,359.42,TEN 18%; CLE 14%; TB 10%
546,Fresh Prince-3,Fresh Prince,1,31,0.002251,0.0,0.0004,358.56,TEN 17%; CLE 13%; TB 10%
547,COOLCATSANDKITTENS-2,COOLCATSANDKITTENS,1,31,0.002247,0.0,0.00056,358.41,TEN 14%; CLE 12%; TB 10%
548,Thomas Shelby-2,Thomas Shelby,1,31,0.002247,0.0,0.00032,358.3,TEN 15%; CLE 12%; PIT 11%
549,Rip Wheeler-1,Rip Wheeler,1,31,0.002251,0.0,0.0004,358.02,TEN 17%; CLE 13%; TB 10%
550,DR B-3,DR B,1,31,0.002235,0.0,0.00032,357.83,TEN 15%; CLE 12%; TB 10%
551,Thunder-4,Thunder,1,31,0.002247,0.0,0.00048,355.78,TEN 18%; CLE 14%; TB 10%
552,Iron Mountain-2,Iron Mountain,1,31,0.001627,0.0,0.0004,355.33,TEN 14%; CLE 12%; TB 10%
553,mousey-1,mousey,1,31,0.002247,0.0,0.00032,354.48,TEN 18%; CLE 14%; TB 10%
554,RYAN HOJO-1,RYAN HOJO,1,31,0.002247,0.0,0.00032,354.48,TEN 18%; CLE 14%; TB 10%
555,KobeBear2452-1,KobeBear2452,1,31,0.002247,0.0,0.0004,354.02,TEN 18%; CLE 14%; TB 10%
556,KARMA.-1,KARMA.,1,31,0.002247,0.0,0.00056,352.88,TEN 18%; CLE 14%; TB 10%
557,BMAC-5,BMAC,1,31,0.002251,0.0,0.00032,352.82,TEN 17%; CLE 13%; TB 10%
558,Staying Alive-2,Staying Alive,1,31,0.002247,0.0,0.00048,352.73,TEN 12%; CLE 11%; PIT 10%
559,CLASS OF 80-1,CLASS OF 80,1,31,0.002247,0.0,0.0004,350.05,TEN 18%; CLE 14%; TB 10%
560,Luther41-1,Luther41,1,31,0.002247,0.0,0.00048,349.09,TEN 18%; CLE 14%; TB 10%
561,BOYCOTT 8 PCT-1,BOYCOTT 8 PCT,1,31,0.001774,0.0,0.00048,348.87,TEN 12%; CLE 11%; TB 9%
562,COLTS45-2,COLTS45,1,31,0.001627,0.0,0.00048,347.45,TEN 19%; CLE 14%; TB 11%
563,U T S.-1,U T S.,1,31,0.002251,0.0,0.0004,345.39,TEN 17%; CLE 13%; TB 10%
564,617 to 702-4,617 to 702,1,31,0.002251,0.0,0.00048,345.33,TEN 13%; CLE 11%; TB 9%
565,KDWSPORTS-2,KDWSPORTS,1,31,0.002247,0.0,0.0004,344.8,TEN 18%; CLE 14%; TB 10%
566,Maiowe-1,Maiowe,1,31,0.001774,0.0,0.0004,343.86,TEN 15%; CLE 12%; TB 10%
567,ACKATTACK-1,ACKATTACK,1,31,0.001627,0.0,0.0004,343.62,TEN 16%; CLE 13%; TB 11%
568,DOZER-1,DOZER,1,31,0.001774,0.0,0.0004,342.57,TEN 18%; CLE 13%; TB 10%
569,HARTMANN-2,HARTMANN,1,31,0.002247,0.0,0.0004,341.4,TEN 15%; CLE 13%; TB 10%
570,LIZ-1,LIZ,1,31,0.001774,0.0,0.00032,340.64,TEN 18%; CLE 13%; TB 10%
571,CT Badger-1,CT Badger,1,31,0.002235,0.0,0.00032,340.64,TEN 18%; CLE 14%; TB 10%
572,Shamy-1,Shamy,1,31,0.001627,0.0,0.0004,339.57,TEN 18%; CLE 11%; TB 10%
573,TEAM RED RAIDER-1,TEAM RED RAIDER,1,31,0.001627,0.0,0.00032,338.46,TEN 19%; CLE 14%; TB 11%
574,DaliBones-3,DaliBones,1,31,0.002251,0.0,0.00032,338.26,TEN 13%; CLE 11%; TB 9%
575,BIGDNICK-4,BIGDNICK,1,31,0.002247,0.0,0.0004,337.84,TEN 11%; CLE 10%; TB 9%
576,DaliBones-2,DaliBones,1,31,0.001774,0.0,0.00056,337.6,TEN 15%; CLE 12%; TB 10%
577,Got2wins-1,Got2wins,1,31,0.002247,0.0,0.0004,337.39,TEN 15%; CLE 12%; PIT 11%
578,ESSENTIAL BETTORS-5,ESSENTIAL BETTORS,1,31,0.002235,0.0,0.00048,336.97,TEN 13%; CLE 11%; TB 10%
579,HORNET.-5,HORNET.,1,31,0.002247,0.0,0.0004,335.25,TEN 11%; CLE 10%; TB 9%
580,MANOKING-1,MANOKING,1,31,0.002247,0.0,0.00032,333.51,TEN 18%; CLE 14%; TB 10%
581,Pauline Park-1,Pauline Park,1,31,0.002247,0.0,0.00048,330.96,TEN 15%; CLE 13%; TB 10%
582,MXX-5,MXX,1,31,0.002266,0.0,0.0004,329.7,PIT 11%; TEN 10%; CLE 9%
583,PARLAY G-2,PARLAY G,1,31,0.002247,0.0,0.00024,329.52,TEN 13%; CLE 12%; TB 10%
584,WHERE'S LUNCH-1,WHERE'S LUNCH,1,31,0.002247,0.0,0.00024,329.52,TEN 11%; CLE 10%; TB 9%
585,callcustservice-1,callcustservice,1,31,0.002251,0.0,0.00024,329.52,TEN 14%; CLE 12%; TB 10%
586,BEANS-1,BEANS,1,31,0.001774,0.0,0.00024,329.52,TEN 18%; CLE 13%; TB 10%
587,Steel-1,Steel,1,31,0.002251,0.0,0.00024,329.52,TEN 17%; CLE 13%; TB 10%
588,82017Taylar-1,82017Taylar,1,31,0.001774,0.0,0.00024,329.52,TEN 18%; CLE 13%; TB 10%
589,BMoney-1,BMoney,1,31,0.001627,0.0,0.00024,329.52,TEN 19%; CLE 14%; TB 11%
590,RedRock 817-2,RedRock 817,1,31,0.002235,0.0,0.00048,329.22,TEN 18%; CLE 14%; TB 10%
591,BK tingle-1,BK tingle,1,31,0.002251,0.0,0.00056,329.14,TEN 17%; CLE 13%; TB 10%
592,LUKEDERUK-2,LUKEDERUK,1,31,0.002247,0.0,0.00048,328.94,TEN 18%; CLE 14%; TB 10%
593,EL PADRE-3,EL PADRE,1,31,0.001627,0.0,0.00032,328.56,TEN 19%; CLE 14%; TB 11%
594,7- Out-1,7- Out,1,31,0.002251,0.0,0.00064,328.31,TEN 17%; CLE 13%; TB 10%
595,SMOOTH TASTE FOOL YA-5,SMOOTH TASTE FOOL YA,1,31,0.002247,0.0,0.0004,326.64,TEN 18%; CLE 14%; TB 10%
596,XIch-2,XIch,1,31,0.002235,0.0,0.0004,326.19,TEN 18%; CLE 14%; TB 10%
597,CHUMS BUMS REDUX-2,CHUMS BUMS REDUX,1,31,0.002247,0.0,0.0004,325.36,TEN 18%; CLE 14%; TB 10%
598,Puppy Kisses-2,Puppy Kisses,1,31,0.002247,0.0,0.00048,325.27,TEN 18%; CLE 14%; TB 10%
599,Bred 4 This-1,Bred 4 This,1,31,0.002027,0.0,0.00048,325.0,CLE 16%; TB 12%; PIT 10%
600,PUFFALUPPS-2,PUFFALUPPS,1,31,0.002027,0.0,0.00056,324.87,CLE 16%; TB 12%; PIT 10%
601,Larry B 27-1,Larry B 27,1,31,0.002247,0.0,0.00032,324.53,TEN 11%; CLE 10%; TB 9%
602,WHERE'S LUNCH-5,WHERE'S LUNCH,1,31,0.002251,0.0,0.00064,324.49,TEN 13%; CLE 11%; TB 9%
603,DinoTheDog-5,DinoTheDog,1,31,0.002251,0.0,0.00048,323.74,TEN 17%; CLE 13%; TB 10%
604,MR BOBBY F-1,MR BOBBY F,1,31,0.002235,0.0,0.00048,322.99,TEN 18%; CLE 14%; TB 10%
605,M_EHRMANTRAUT-5,M_EHRMANTRAUT,1,31,0.002235,0.0,0.0004,321.73,TEN 15%; CLE 12%; TB 10%
606,Ned Landers-4,Ned Landers,1,31,0.00178,0.0,0.0004,321.72,TEN 15%; CLE 12%; TB 10%
607,WWCD 2-1,WWCD 2,1,31,0.002235,0.0,0.0004,321.26,TEN 18%; CLE 14%; TB 10%
608,BLOW OUT-2,BLOW OUT,1,31,0.002251,0.0,0.00032,320.27,TEN 15%; CLE 12%; TB 10%
609,Enut34-1,Enut34,1,31,0.001774,0.0,0.00048,319.08,TEN 18%; CLE 13%; TB 10%
610,RHINOSANDTIGERS-2,RHINOSANDTIGERS,1,31,0.002247,0.0,0.0004,319.06,TEN 18%; CLE 14%; TB 10%
611,Woody K-1,Woody K,1,31,0.002251,0.0,0.00032,317.87,TEN 17%; CLE 13%; TB 10%
612,IMAWHALE SPORTS-3,IMAWHALE SPORTS,1,31,0.002251,0.0,0.00032,316.61,TEN 13%; CLE 11%; TB 9%
613,@Jay Swah Sports-5,@Jay Swah Sports,1,31,0.002251,0.0,0.00032,316.61,TEN 17%; CLE 13%; TB 10%
614,BILLS MAFIA-1,BILLS MAFIA,1,31,0.002251,0.0,0.00056,316.26,TEN 17%; CLE 13%; TB 10%
615,Mahomes 1973-1,Mahomes 1973,1,31,0.002235,0.0,0.00056,314.64,TEN 18%; CLE 14%; TB 10%
616,COOLCATSANDKITTENS-1,COOLCATSANDKITTENS,1,31,0.001774,0.0,0.00024,314.37,TEN 15%; CLE 12%; TB 10%
617,DESERT DOGG-2,DESERT DOGG,1,31,0.002235,0.0,0.0004,312.91,TEN 18%; CLE 14%; TB 10%
618,beefaroni-5,beefaroni,1,31,0.002235,0.0,0.00048,312.63,TEN 15%; CLE 12%; TB 10%
619,Heavy Weight Heads-2,Heavy Weight Heads,1,31,0.002247,0.0,0.0004,311.86,TEN 18%; CLE 14%; TB 10%
620,BROMATSONS-1,BROMATSONS,1,31,0.001627,0.0,0.00056,311.46,TEN 19%; CLE 14%; TB 11%
621,Zenyatta-3,Zenyatta,1,31,0.002247,0.0,0.00032,310.59,TEN 18%; CLE 14%; TB 10%
622,kennywhitesports.com-1,kennywhitesports.com,1,31,0.00178,0.0,0.00032,310.59,TEN 18%; CLE 13%; TB 10%
623,dylan-3,dylan,1,31,0.002251,0.0,0.0004,310.06,TEN 17%; CLE 13%; TB 10%
624,BBOSSE22-2,BBOSSE22,1,31,0.002247,0.0,0.00048,309.45,TEN 16%; CLE 13%; TB 10%
625,PISANOWINZ-1,PISANOWINZ,1,31,0.001774,0.0,0.00032,309.32,TEN 18%; CLE 13%; TB 10%
626,VOLARE CIECO-1,VOLARE CIECO,1,31,0.002235,0.0,0.0004,309.25,TEN 18%; CLE 14%; TB 10%
627,DR B-1,DR B,1,31,0.002247,0.0,0.00056,308.44,TEN 13%; CLE 12%; TB 10%
628,Staying Alive-5,Staying Alive,1,31,0.002251,0.0,0.0004,307.8,TEN 12%; CLE 11%; PIT 10%
629,JERSEY STRONG 16-2,JERSEY STRONG 16,1,31,0.002247,0.0,0.00048,306.04,TEN 18%; CLE 14%; TB 10%
630,Orionsbelt-1,Orionsbelt,1,31,0.002247,0.0,0.00032,305.74,TEN 18%; CLE 14%; TB 10%
631,Who Dat-1,Who Dat,1,31,0.002247,0.0,0.0004,304.96,TEN 18%; CLE 14%; TB 10%
632,SPS-4,SPS,1,31,0.002247,0.0,0.00032,304.08,TEN 13%; CLE 12%; TB 10%
633,PRAY4DUBB-3,PRAY4DUBB,1,31,0.001627,0.0,0.0004,302.25,TEN 19%; CLE 14%; TB 11%
634,SIN CITY LORI-1,SIN CITY LORI,1,31,0.002251,0.0,0.00032,301.85,TEN 17%; CLE 13%; TB 10%
635,1JeffIgor-1,1JeffIgor,1,31,0.002247,0.0,0.00032,301.65,TEN 18%; CLE 14%; TB 10%
636,Putting on the foil-5,Putting on the foil,1,31,0.002251,0.0,0.0004,301.63,TEN 10%; BUF 10%; CLE 9%
637,ALMOST PERFECT-1,ALMOST PERFECT,1,31,0.002247,0.0,0.0004,301.63,TEN 18%; CLE 14%; TB 10%
638,Schematic Advantage-3,Schematic Advantage,1,31,0.002247,0.0,0.0004,299.7,TEN 14%; CLE 12%; TB 10%
639,THE801CREW-2,THE801CREW,1,31,0.002247,0.0,0.00032,298.89,TEN 18%; CLE 14%; TB 10%
640,JOE D-1,JOE D,1,31,0.001774,0.0,0.00048,297.23,TEN 15%; CLE 12%; TB 10%
641,Al The Sly-2,Al The Sly,1,31,0.002235,0.0,0.0004,296.78,TEN 18%; CLE 14%; TB 10%
642,SIN CITY LORI-2,SIN CITY LORI,1,31,0.002235,0.0,0.00032,295.7,TEN 15%; CLE 12%; TB 10%
643,hoosierdaddies-1,hoosierdaddies,1,31,0.002235,0.0,0.00032,295.5,TEN 18%; CLE 14%; TB 10%
644,OFFINTHEWOODS-1,OFFINTHEWOODS,1,31,0.002251,0.0,0.00032,295.22,TEN 17%; CLE 13%; TB 10%
645,G-BREW-1,G-BREW,1,31,0.002247,0.0,0.00032,291.98,TEN 18%; CLE 14%; TB 10%
646,GAMBLEONGOLD-2,GAMBLEONGOLD,1,31,0.002247,0.0,0.00032,291.08,TEN 18%; CLE 14%; TB 10%
647,@Pigskin_Junkies-1,@Pigskin_Junkies,1,31,0.002247,0.0,0.00032,290.14,TEN 18%; CLE 14%; TB 10%
648,Goodfellas-2,Goodfellas,1,31,0.001774,0.0,0.00032,288.97,TEN 18%; CLE 13%; TB 10%
649,BOYCOTT 8 PCT-3,BOYCOTT 8 PCT,1,31,0.001774,0.0,0.00032,288.01,TEN 15%; CLE 12%; TB 10%
650,Either A or B-1,Either A or B,1,31,0.002247,0.0,0.00024,286.66,TEN 18%; CLE 14%; TB 10%
651,mlbpitcherPSYCHIC-2,mlbpitcherPSYCHIC,1,31,0.002247,0.0,0.00032,283.86,TEN 15%; CLE 13%; TB 10%
652,MXX-1,MXX,1,31,0.002251,0.0,0.00032,282.81,TEN 17%; CLE 13%; TB 10%
653,Texas Bound.-1,Texas Bound.,1,31,0.001774,0.0,0.0004,282.64,TEN 18%; CLE 13%; TB 10%
654,CANDYMAN-3,CANDYMAN,1,31,0.001774,0.0,0.00024,280.7,TEN 13%; CLE 11%; PIT 10%
655,scourrge-5,scourrge,1,31,0.002247,0.0,0.00024,280.7,TEN 16%; CLE 13%; TB 10%
656,Mean Machine-1,Mean Machine,1,31,0.001774,0.0,0.00024,280.7,TEN 18%; CLE 13%; TB 10%
657,docsvegaspicks-1,docsvegaspicks,1,31,0.001774,0.0,0.00032,278.04,TEN 18%; CLE 13%; TB 10%
658,SGPN-1,SGPN,1,31,0.002247,0.0,0.00032,276.3,TEN 18%; CLE 14%; TB 10%
659,Fresh Prince-4,Fresh Prince,1,31,0.002251,0.0,0.0004,274.58,TEN 15%; CLE 12%; TB 10%
660,Exodus 20-3,Exodus 20,1,31,0.002235,0.0,0.0004,274.46,TEN 18%; CLE 14%; TB 10%
661,K 2 S Q R-1,K 2 S Q R,1,31,0.001774,0.0,0.00024,273.52,TEN 18%; CLE 13%; TB 10%
662,Washington Redskins-1,Washington Redskins,1,31,0.002247,0.0,0.00032,272.91,TEN 18%; CLE 14%; TB 10%
663,MINTF-2,MINTF,1,31,0.001774,0.0,0.00024,272.49,TEN 15%; CLE 12%; TB 10%
664,Chaddie & Maddie-4,Chaddie & Maddie,1,31,0.002251,0.0,0.00024,272.49,TEN 17%; CLE 13%; TB 10%
665,FTGB-2,FTGB,1,31,0.002251,0.0,0.00032,270.13,TEN 14%; CLE 12%; TB 10%
